iter	Passed	Remaining
0	2	246
1	4	233
2	6	222
3	8	204
4	11	216
5	13	211
6	15	207
7	17	204
8	28	289
9	37	335
10	40	324
11	42	310
12	44	296
13	48	294
14	54	308
15	57	303
16	59	290
17	61	279
18	63	269
19	65	260
20	67	253
21	69	244
22	70	237
23	72	229
24	74	222
25	75	215
26	77	209
27	79	203
28	81	200
29	83	195
30	85	190
31	87	185
32	88	180
33	90	175
34	92	171
35	94	167
36	99	170
37	101	165
38	103	161
39	105	158
40	107	154
41	107	149
42	110	146
43	112	143
44	114	140
45	116	136
46	118	133
47	120	130
48	121	126
49	123	123
50	125	120
51	127	117
52	128	114
53	130	111
54	131	107
55	134	105
56	135	102
57	137	99
58	139	97
59	142	94
60	144	92
61	146	90
62	148	87
63	150	84
64	154	83
65	156	80
66	158	78
67	160	75
68	162	72
69	163	70
70	165	67
71	167	65
72	169	62
73	171	60
74	172	57
75	174	55
76	176	52
77	177	50
78	179	47
79	181	45
80	182	42
81	184	40
82	186	38
83	188	35
84	190	33
85	192	31
86	193	28
87	195	26
88	197	24
89	199	22
90	200	19
91	202	17
92	204	15
93	206	13
94	208	10
95	210	8
96	211	6
97	213	4
98	215	2
99	217	0
