iter	Passed	Remaining
0	2	2493
1	5	2773
2	8	2740
3	11	2847
4	14	2827
5	16	2810
6	19	2713
7	21	2632
8	33	3655
9	66	6623
10	72	6551
11	75	6237
12	78	5930
13	80	5669
14	82	5434
15	84	5224
16	88	5096
17	90	4949
18	92	4799
19	95	4659
20	128	5974
21	131	5860
22	134	5714
23	137	5589
24	139	5455
25	142	5333
26	146	5292
27	149	5193
28	152	5090
29	157	5099
30	173	5408
31	175	5318
32	178	5231
33	180	5131
34	186	5138
35	203	5460
36	208	5413
37	263	6663
38	267	6598
39	270	6481
40	289	6775
41	300	6855
42	303	6743
43	304	6626
44	307	6521
45	311	6467
46	313	6357
47	315	6249
48	317	6154
49	319	6062
50	320	5966
51	322	5876
52	327	5844
53	329	5778
54	331	5699
55	333	5622
56	335	5548
57	337	5476
58	342	5465
59	344	5397
60	346	5328
61	348	5264
62	349	5204
63	351	5143
64	357	5145
65	359	5094
66	364	5080
67	366	5023
68	372	5026
69	374	4974
70	376	4929
71	379	4887
72	382	4860
73	386	4831
74	388	4788
75	392	4770
76	394	4723
77	395	4676
78	397	4635
79	401	4615
80	403	4580
81	406	4555
82	409	4523
83	411	4486
84	413	4454
85	417	4433
86	418	4396
87	420	4358
88	422	4321
89	423	4286
90	425	4252
91	429	4235
92	431	4212
93	434	4184
94	436	4153
95	438	4125
96	440	4100
97	445	4095
98	447	4070
99	449	4044
100	451	4021
101	455	4007
102	459	4005
103	463	3989
104	465	3967
105	467	3944
106	470	3922
107	474	3922
108	477	3903
109	479	3882
110	481	3857
111	483	3831
112	485	3807
113	486	3782
114	491	3780
115	493	3761
116	495	3741
117	498	3726
118	502	3723
119	505	3706
120	506	3678
121	508	3656
122	509	3633
123	511	3610
124	513	3591
125	514	3572
126	516	3550
127	518	3533
128	520	3512
129	521	3492
130	523	3475
131	525	3455
132	527	3436
133	528	3417
134	534	3427
135	536	3411
136	539	3396
137	541	3383
138	543	3366
139	548	3368
140	550	3353
141	552	3340
142	553	3319
143	554	3297
144	557	3285
145	561	3285
146	563	3270
147	565	3253
148	566	3238
149	568	3221
150	570	3205
151	571	3189
152	573	3174
153	577	3172
154	579	3161
155	581	3148
156	584	3137
157	586	3126
158	588	3112
159	597	3134
160	598	3121
161	600	3108
162	603	3099
163	610	3111
164	612	3100
165	614	3088
166	616	3076
167	619	3065
168	624	3072
169	627	3061
170	629	3050
171	631	3039
172	635	3035
173	643	3052
174	644	3040
175	646	3024
176	647	3012
177	650	3004
178	655	3008
179	662	3016
180	664	3005
181	666	2993
182	672	3003
183	674	2992
184	677	2985
185	680	2976
186	689	2997
187	691	2985
188	693	2974
189	695	2964
190	697	2955
191	700	2948
192	702	2937
193	704	2926
194	706	2917
195	708	2905
196	710	2897
197	719	2915
198	737	2970
199	740	2960
200	742	2950
201	761	3010
202	764	3000
203	766	2990
204	768	2981
205	771	2971
206	775	2969
207	778	2962
208	780	2952
209	782	2943
210	784	2935
211	787	2927
212	797	2945
213	799	2935
214	801	2925
215	812	2947
216	814	2938
217	816	2930
218	821	2929
219	824	2923
220	826	2914
221	829	2906
222	831	2897
223	856	2967
224	877	3023
225	880	3016
226	886	3018
227	888	3009
228	890	2999
229	898	3008
230	904	3011
231	906	3001
232	909	2994
233	913	2989
234	922	3001
235	924	2991
236	926	2982
237	928	2972
238	933	2971
239	935	2962
240	938	2955
241	1000	3132
242	1002	3121
243	1004	3111
244	1006	3100
245	1008	3091
246	1012	3086
247	1014	3077
248	1017	3070
249	1021	3064
250	1025	3060
251	1029	3054
252	1031	3044
253	1038	3050
254	1040	3040
255	1056	3070
256	1063	3075
257	1065	3065
258	1067	3055
259	1069	3044
260	1071	3034
261	1076	3031
262	1078	3022
